method,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std
Ours,75.64054731769875,4.021799795870758,76.86720762304965,3.268019720285385
NIMA,57.4432073555178,1.5191864819007121,56.62823532548661,2.6327073286213687
